"formal_name","location_address","suburb","postcode","address","latitude","longitude","category"
"Benetas Dalkeith Gardens","49-53 Hazelwood Road","TRARALGON","3844","49-53 Hazelwood Road, TRARALGON, VIC, 3844, Australia",-38.20916,146.52067,"RACF"
"Benetas Gladswood Lodge","15 WAXMAN Parade","BRUNSWICK WEST","3055","15 WAXMAN Parade, BRUNSWICK WEST, VIC, 3055, Australia",-37.758684,144.934544,"RACF"
"Benetas Lovell House","389 ALMA Road","CAULFIELD NORTH","3161","389 ALMA Road, CAULFIELD NORTH, VIC, 3161, Australia",-37.865574,145.023297,"RACF"
"Benetas St George's","13-19 HOWARD Street","ALTONA MEADOWS","3028","13-19 HOWARD Street, ALTONA MEADOWS, VIC, 3028, Australia",-37.880077,144.781138,"RACF"
"Benetas St Laurence Court Eaglehawk","112 UPPER CALIFORNIA GULLY Road","CALIFORNIA GULLY","3556","112 UPPER CALIFORNIA GULLY Road, CALIFORNIA GULLY, VIC, 3556, Australia",-36.735274,144.254028,"RACF"
"Benetas St Laurence Court Kangaroo Flat","8 WESLEY Street","KANGAROO FLAT","3555","8 WESLEY Street, KANGAROO FLAT, VIC, 3555, Australia",-36.802222,144.240681,"RACF"
"Benetas St Paul's Terrace","2B TOWERHILL Road","FRANKSTON","3199","2B TOWERHILL Road, FRANKSTON, VIC, 3199, Australia",-38.162984,145.135638,"RACF"
"Benetas The Views at Heidelberg","2-6 Lower Plenty Road","HEIDELBERG","3084","2-6 Lower Plenty Road, HEIDELBERG, VIC, 3084, Australia",-37.746814,145.058489,"RACF"
"Benlynne Park PNH","2 KILLARA Street","SUNSHINE WEST","3020","2 KILLARA Street, SUNSHINE WEST, VIC, 3020, Australia",-37.786523,144.823308,"RACF"
"Bentons Lodge - Residential Aged Service","197 BENTONS Road","MORNINGTON","3931","197 BENTONS Road, MORNINGTON, VIC, 3931, Australia",-38.2472913,145.0546945,"RACF"
"Berengarra","283 COTHAM Road","KEW","3101","283 COTHAM Road, KEW, VIC, 3101, Australia",-37.8084292,145.052732378461,"RACF"
"Bethel Aged Care","600 PLENTY Road","MILL PARK","3082","600 PLENTY Road, MILL PARK, VIC, 3082, Australia",-37.655287,145.082151,"RACF"
"Bill Crawford Lodge","1101 DANA Street","BALLARAT","3350","1101 DANA Street, BALLARAT, VIC, 3350, Australia",-37.563267,143.84963,"RACF"
"Bindaree Retirement Centre","86 HIGHETT Street","MANSFIELD","3722","86 HIGHETT Street, MANSFIELD, VIC, 3722, Australia",-37.060641,146.086768,"RACF"
"Birchip Nursing Home","17 TAVERNER Street","BIRCHIP","3483","17 TAVERNER Street, BIRCHIP, VIC, 3483, Australia",-35.980234,142.916264,"RACF"
"BlueCross Ashby","25 ASHFORD Street","TEMPLESTOWE LOWER","3107","25 ASHFORD Street, TEMPLESTOWE LOWER, VIC, 3107, Australia",-37.761337,145.120081,"RACF"
"BlueCross Autumdale","13 EAGLAND Road","CHELTENHAM","3192","13 EAGLAND Road, CHELTENHAM, VIC, 3192, Australia",-37.971397,145.075935,"RACF"
"BlueCross Baradine","17-19 Baradine Road","MOOROOLBARK","3138","17-19 Baradine Road, MOOROOLBARK, VIC, 3138, Australia",-37.781228,145.317486,"RACF"
"BlueCross Box Hill","40 Dorking Road","BOX HILL","3128","40 Dorking Road, BOX HILL, VIC, 3128, Australia",-37.816395,145.131322,"RACF"
"BlueCross Broughtonlea","9-17 BROUGHTON Road","SURREY HILLS","3127","9-17 BROUGHTON Road, SURREY HILLS, VIC, 3127, Australia",-37.827812,145.104246,"RACF"
"BlueCross Chelsea Manor","7-11 BEARDSWORTH Avenue","CHELSEA","3196","7-11 BEARDSWORTH Avenue, CHELSEA, VIC, 3196, Australia",-38.048987,145.122954,"RACF"
"BlueCross Cresthaven","235 WAVERLEY Road","MALVERN EAST","3145","235 WAVERLEY Road, MALVERN EAST, VIC, 3145, Australia",-37.878212,145.066606,"RACF"
"BlueCross Darnlee","33 LANSELL Road","TOORAK","3142","33 LANSELL Road, TOORAK, VIC, 3142, Australia",-37.838167,145.016188,"RACF"
"BlueCross Elly Kay","45-51 ELLIOT Street","MORDIALLOC","3195","45-51 ELLIOT Street, MORDIALLOC, VIC, 3195, Australia",-37.9967798,145.0952934,"RACF"
"BlueCross Gardenia","87 ARGYLE Avenue","CHELSEA","3196","87 ARGYLE Avenue, CHELSEA, VIC, 3196, Australia",-38.05192035,145.128891572987,"RACF"
"BlueCross Glengowrie","54 BOX FOREST Road","GLENROY","3046","54 BOX FOREST Road, GLENROY, VIC, 3046, Australia",-37.70384,144.955343,"RACF"
"BlueCross Grossard Court","1A LESLIE Avenue","COWES","3922","1A LESLIE Avenue, COWES, VIC, 3922, Australia",-38.4600065,145.2328124,"RACF"
"BlueCross Hansworth","181 HANSWORTH Street","MULGRAVE","3170","181 HANSWORTH Street, MULGRAVE, VIC, 3170, Australia",-37.933333,145.188393,"RACF"
"BlueCross Highgrove","79 Stevenson Street","KEW","3101","79 Stevenson Street, KEW, VIC, 3101, Australia",-37.809234,145.017579,"RACF"
"BlueCross Hilltop","10 HOTHAM Street","PRESTON","3072","10 HOTHAM Street, PRESTON, VIC, 3072, Australia",-37.751694,145.006795,"RACF"
"BlueCross Ivanhoe","250-260 Waterdale Road","IVANHOE","3079","250-260 Waterdale Road, IVANHOE, VIC, 3079, Australia",-37.758326,145.044563,"RACF"
"BlueCross Karinya Grove","3 ABERDEEN Road","SANDRINGHAM","3191","3 ABERDEEN Road, SANDRINGHAM, VIC, 3191, Australia",-37.9554361,145.0287321,"RACF"
"BlueCross Livingstone Gardens","39 Livingstone Road","VERMONT SOUTH","3133","39 Livingstone Road, VERMONT SOUTH, VIC, 3133, Australia",-37.8552256,145.1801313,"RACF"
"BlueCross Monterey","858 PASCOE VALE Road","GLENROY","3046","858 PASCOE VALE Road, GLENROY, VIC, 3046, Australia",-37.70166,144.915342,"RACF"
"BlueCross Oakleigh","1055 Centre Road","OAKLEIGH SOUTH","3167","1055 Centre Road, OAKLEIGH SOUTH, VIC, 3167, Australia",-37.92419055,145.086678950039,"RACF"
"BlueCross Riverlea","57 INTERVALE Drive","AVONDALE HEIGHTS","3034","57 INTERVALE Drive, AVONDALE HEIGHTS, VIC, 3034, Australia",-37.75275,144.8539,"RACF"
"BlueCross Scotchmans Creek","444-454 WAVERLEY Road","MOUNT WAVERLEY","3149","444-454 WAVERLEY Road, MOUNT WAVERLEY, VIC, 3149, Australia",-37.885791,145.135398,"RACF"
"BlueCross Sheridan Hall Brighton","10 Marion Street","BRIGHTON","3186","10 Marion Street, BRIGHTON, VIC, 3186, Australia",-37.9077261,145.0027298,"RACF"
"BlueCross Sheridan Hall Caulfield","6-8 Northcote Avenue","CAULFIELD NORTH","3161","6-8 Northcote Avenue, CAULFIELD NORTH, VIC, 3161, Australia",-37.876694,145.024453,"RACF"
"BlueCross Silverwood","105 PORTER Street","TEMPLESTOWE","3106","105 PORTER Street, TEMPLESTOWE, VIC, 3106, Australia",-37.752545,145.136415,"RACF"
"BlueCross Tarralla","9 Jackson Street","CROYDON","3136","9 Jackson Street, CROYDON, VIC, 3136, Australia",-37.794469,145.287713,"RACF"
"BlueCross The Boulevard","70 HEATHS Court","MILL PARK","3082","70 HEATHS Court, MILL PARK, VIC, 3082, Australia",-37.657209,145.082485,"RACF"
"BlueCross The Gables","629 RIVERSDALE Road","CAMBERWELL","3124","629 RIVERSDALE Road, CAMBERWELL, VIC, 3124, Australia",-37.8314016,145.067235728882,"RACF"
"BlueCross The Mews","2a Warburton Road","CAMBERWELL EAST","3126","2a Warburton Road, CAMBERWELL EAST, VIC, 3126, Australia",-37.826263,145.069032633333,"RACF"
"BlueCross Western Gardens","40 ANDERSON Road","SUNSHINE","3020","40 ANDERSON Road, SUNSHINE, VIC, 3020, Australia",-37.792124,144.827732,"RACF"
"BlueCross Westgarth","121-127 Westgarth Street","NORTHCOTE","3070","121-127 Westgarth Street, NORTHCOTE, VIC, 3070, Australia",-37.781697,145.0031178,"RACF"
"BlueCross Willowmeade","70 KILMORE-LANCEFIELD Road","KILMORE","3764","70 KILMORE-LANCEFIELD Road, KILMORE, VIC, 3764, Australia",-37.29517,144.945046,"RACF"
"Bolga Court Hostel","1 Lakeside Drive","TALLANGATTA","3700","1 Lakeside Drive, TALLANGATTA, VIC, 3700, Australia",-36.2130539,147.1816464,"RACF"
"Boort District Health Hostel","1 Kiniry Street","BOORT","3537","1 Kiniry Street, BOORT, VIC, 3537, Australia",-36.114281,143.7275701,"RACF"
"Boort District Health Nursing Home","5 KINIRY Street","BOORT","3537","5 KINIRY Street, BOORT, VIC, 3537, Australia",-36.115169,143.727196,"RACF"
"Boronia Residential Aged Care","7 COOGEE Street","BORONIA","3155","7 COOGEE Street, BORONIA, VIC, 3155, Australia",-37.853652,145.284668,"RACF"
"Boyne Russell House","184-186 VICTORIA Street","BRUNSWICK","3056","184-186 VICTORIA Street, BRUNSWICK, VIC, 3056, Australia",-37.767964,144.969508,"RACF"
"BRENTWOOD AGED CARE","299 LATROBE Terrace","GEELONG","3220","299 LATROBE Terrace, GEELONG, VIC, 3220, Australia",-38.152132,144.352073,"RACF"
"Brimlea Aged Care","21 RAILWAY Parade","MURRUMBEENA","3163","21 RAILWAY Parade, MURRUMBEENA, VIC, 3163, Australia",-37.892032,145.070509,"RACF"
"BSL Aged Care - Clifton Hill","160 GOLD Street","CLIFTON HILL","3068","160 GOLD Street, CLIFTON HILL, VIC, 3068, Australia",-37.7925234,144.9904359,"RACF"
"Buckland House Nursing Home","1 HIGHETT Street","MANSFIELD","3722","1 HIGHETT Street, MANSFIELD, VIC, 3722, Australia",-37.04958,146.088198,"RACF"
"Bupa Ballarat","305 SMYTHES Road","DELACOMBE","3356","305 SMYTHES Road, DELACOMBE, VIC, 3356, Australia",-37.5915698,143.80916961895,"RACF"
"Bupa Barrabool","55 BARRABOOL Road","BELMONT","3216","55 BARRABOOL Road, BELMONT, VIC, 3216, Australia",-38.166073,144.336708,"RACF"
"Bupa Bellarine Lakes","402 Bellarine Highway","MOOLAP","3224","402 Bellarine Highway, MOOLAP, VIC, 3224, Australia",-38.180513,144.426757,"RACF"
"Bupa Bendigo","208 HOLDSWORTH Road","BENDIGO","3550","208 HOLDSWORTH Road, BENDIGO, VIC, 3550, Australia",-36.73491845,144.280886048076,"RACF"
"Bupa Berwick","359 NARRE WARREN NORTH Road","NARRE WARREN NORTH","3804","359 NARRE WARREN NORTH Road, NARRE WARREN NORTH, VIC, 3804, Australia",-37.99446565,145.312279724785,"RACF"
"Bupa Bonbeach","53 BROADWAY","BONBEACH","3196","53 BROADWAY, BONBEACH, VIC, 3196, Australia",-38.057779,145.126215,"RACF"
"Bupa Caulfield","349-351A NORTH Road","CAULFIELD SOUTH","3162","349-351A NORTH Road, CAULFIELD SOUTH, VIC, 3162, Australia",-37.902185,145.027978,"RACF"
"Bupa Clayton","12 BURTON Avenue","CLAYTON","3168","12 BURTON Avenue, CLAYTON, VIC, 3168, Australia",-37.9274339,145.116160055117,"RACF"
"Bupa Coburg","24 SUTHERLAND Street","COBURG","3058","24 SUTHERLAND Street, COBURG, VIC, 3058, Australia",-37.73891265,144.961483783193,"RACF"
"Bupa Croydon","124 MAROONDAH Highway","CROYDON","3136","124 MAROONDAH Highway, CROYDON, VIC, 3136, Australia",-37.787959,145.273192,"RACF"
"Bupa Donvale","296-304 Springvale Road","DONVALE","3111","296-304 Springvale Road, DONVALE, VIC, 3111, Australia",-37.791954,145.179707,"RACF"
"Bupa Eastwood","55 TIMBARRA Drive","BAIRNSDALE","3875","55 TIMBARRA Drive, BAIRNSDALE, VIC, 3875, Australia",-37.811847,147.638274,"RACF"
"Bupa Echuca","7 FEHRING Lane","ECHUCA","3564","7 FEHRING Lane, ECHUCA, VIC, 3564, Australia",-36.155002,144.732398,"RACF"
"Bupa Greensborough","264 DIAMOND CREEK Road","GREENSBOROUGH","3088","264 DIAMOND CREEK Road, GREENSBOROUGH, VIC, 3088, Australia",-37.681084,145.122107,"RACF"
"Bupa Kyneton","2 EDGECOMBE Street","KYNETON","3444","2 EDGECOMBE Street, KYNETON, VIC, 3444, Australia",-37.2571861,144.462750606291,"RACF"
"Bupa Mildura","514 DEAKIN Avenue","MILDURA","3500","514 DEAKIN Avenue, MILDURA, VIC, 3500, Australia",-34.209356,142.133849,"RACF"
"Bupa Portland","83 WELLINGTON Road","PORTLAND","3305","83 WELLINGTON Road, PORTLAND, VIC, 3305, Australia",-38.36341,141.613963,"RACF"
